project_code,project_name,snapshot_date,target_schedule_overrun_months,prediction,fold
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-05-01,0.0,-1.6322480146855138,1
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-06-01,0.0,-0.9762385583106061,1
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-07-01,4.0,3.6317095165502584,2
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-08-01,5.0,4.484242986690368,2
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-09-01,5.0,5.198438796756262,2
608302,Transmission system for evacuation of Power from Pakaldul HEP in Chenab Valley HEPs - LTA System,2025-10-01,7.0,5.915895874838684,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-07-01,6.0,7.786360319815569,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-08-01,6.0,8.32116494836399,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-09-01,11.0,9.034341686905753,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-10-01,11.0,9.578299344425728,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-11-01,11.0,10.217317135396046,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-12-01,11.0,10.918210551531434,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2026-02-01,13.0,12.483805347000446,2
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2026-03-01,13.0,13.144255868131044,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-07-01,8.0,8.862339301924228,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-08-01,8.0,9.28312192630657,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-09-01,8.0,9.657778856221304,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-10-01,8.0,10.371157070613716,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-11-01,8.0,10.83729649095928,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-12-01,9.0,11.567553982836998,2
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2026-01-01,10.0,12.372404984137686,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2025-10-01,3.0,-3.449756256238553,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2025-11-01,3.0,-2.590398037204798,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2025-12-01,3.0,-1.733871246793278,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-01-01,3.0,-0.8796744861854755,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-02-01,3.0,-0.11248732651431581,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-03-01,6.0,0.7266965318061693,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-04-01,6.0,1.5606744747385637,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-05-01,6.0,2.3648040091650504,2
617801,Provision of ICT Augmentation & Bus Reactor at Bhuj-II PS,2026-06-01,6.0,2.8725255505781355,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-07-01,13.0,14.893060964576513,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-08-01,13.0,15.736921312841181,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-09-01,13.0,16.58076245887481,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-10-01,14.0,17.458668362781445,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-11-01,14.0,18.268012700743554,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2025-12-01,16.0,19.161838924502263,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-01-01,16.0,19.971672919356006,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-02-01,16.0,20.86508629514725,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-03-01,18.0,21.68460719793027,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-04-01,18.0,22.546537635120433,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-05-01,18.0,23.40589585415419,2
N18000184,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN NR UNDER FIBER OPTIC EXPANSION PROJECT (ADDITIO,2024-08-01,81.0,66.30717380566172,2
N18000184,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN NR UNDER FIBER OPTIC EXPANSION PROJECT (ADDITIO,2024-11-01,81.0,68.70595824869932,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-08-01,13.0,12.632847611131453,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-12-01,16.0,15.832175228516423,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-01-01,16.0,16.6918159017034,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-02-01,18.0,17.301638883920077,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-03-01,18.0,17.9944205918455,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-04-01,21.0,18.665318111220888,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-05-01,21.0,19.325970824368174,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-06-01,22.0,20.117002549494693,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2024-08-01,10.0,14.391261785273436,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2024-09-01,14.0,13.891543432587063,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2024-11-01,14.0,14.25703946131562,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2024-12-01,15.0,14.372922421392246,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-01-01,16.0,14.615013438731552,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-02-01,16.0,14.649476880738327,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-03-01,18.0,15.169040174190833,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-04-01,19.0,15.829220118528092,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-05-01,19.0,15.929976841943763,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-06-01,21.0,16.618798744108947,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2024-08-01,3.0,7.013998089995851,2
N18000356,1346  TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2024-09-01,3.0,7.864003090454991,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2024-12-01,6.0,7.738266058165369,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2025-01-01,6.0,7.91209584771834,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2025-02-01,8.0,8.18441965696691,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2025-03-01,8.0,8.869873648448099,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2025-04-01,12.0,9.568956565229255,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2025-05-01,12.0,10.27243550041175,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2025-06-01,12.0,11.1302633482162,2
N18000377,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE-IV PART E4,2024-09-01,0.0,0.9188121082500196,2
N18000377,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE-IV PART E4,2024-11-01,0.0,2.553910760917937,2
N18000377,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE-IV PART E4,2024-12-01,0.0,3.24603340915251,2
N18000377,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE-IV PART E4,2025-01-01,0.0,4.105391628186265,2
N18000377,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE-IV PART E4,2025-02-01,0.0,4.96474984722002,2
N18000377,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE-IV PART E4,2025-03-01,0.0,5.824108066253775,2
N18000377,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE-IV PART E4,2025-04-01,2.0,6.516230714488346,2
N18000377,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE- IV PART E4,2025-05-01,2.0,7.264467471482613,2
N18000377,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE-IV PART E4,2025-06-01,4.0,7.90435641141062,2
N18000392,TS FOR EVACUATION POWER RAJASTHAN REZ PH-IV (PART- 2:5.5GW) (JAISALMER/BARMER COMPLEX): PART-C,2024-11-01,0.0,-6.612770814382408,2
N18000392,TS FOR EVACUATION POWER RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX): PART-C,2024-12-01,0.0,-6.153439195527307,2
N18000392,TS FOR EVACUATION POWER RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX): PART- C,2025-01-01,0.0,-5.3762537757476,2
N18000392,TS FOR EVACUATION POWER RAJASTHAN REZ PH-IV (PART- 2:5.5GW) (JAISALMER/BARMER COMPLEX): PART-C,2025-02-01,0.0,-4.516895556713845,2
N18000392,TS FOR EVACUATION POWER RAJASTHAN REZ PH-IV (PART- 2:5.5GW) (JAISALMER/BARMER COMPLEX): PART-C,2025-03-01,0.0,-4.397092530966518,2
N18000392,TS FOR EVACUATION POWER RAJASTHAN REZ PH-IV (PART- 2:5.5GW) (JAISALMER/BARMER COMPLEX): PART-C,2025-04-01,0.0,-3.8254453257280865,2
N18000392,TS FOR EVACUATION POWER RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX): PART-C,2025-05-01,0.0,-3.1339260088315903,2
N18000392,TS FOR EVACUATION POWER RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX): PART- C,2025-06-01,0.0,-2.2962427804702426,2
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA-III AND BIKANER III COMPLEX [SPV NA,2025-02-01,0.0,-4.054162941261106,2
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA- III AND BIKANER III COMPLEX [SPV NA,2025-03-01,0.0,-3.194804722227353,2
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA-III AND BIKANER III COMPLEX [SPV NA,2025-04-01,0.0,-2.335446503193598,2
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA-III AND BIKANER III COMPLEX [SPV NA,2025-05-01,0.0,-1.476088284159843,2
N18000397,TRANSMISSION SYSTEM STRENGTHENING FOR INTERCONNECTIONS OF BHADLA-III AND BIKANER III COMPLEX [SPV NA,2025-06-01,0.0,-0.6233933038964459,2
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-02-01,-6.0,-9.907164807506781,2
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-03-01,0.0,-8.62971766147507,2
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-04-01,0.0,-7.770359442441311,2
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-05-01,0.0,-6.911001223407558,2
N18000402,PROVISION OF DYNAMIC REACTIVE COMPENSATION AT KHAVDA POOLING STATION 1 [KPS1] AND KHAVDA POOLING STA,2025-06-01,0.0,-6.070195345528017,2
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-07-01,9.0,11.21307814883903,3
606781,Transmission System for Strengthening of Srinagar-Leh Tr. System,2025-08-01,10.0,10.421949565588463,3
