project_code,project_name,snapshot_date,target_schedule_overrun_months,prediction,fold
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-01-01,16.0,29.4264508047732,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-02-01,16.0,32.166306979974735,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-03-01,18.0,32.166306979974735,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-04-01,18.0,33.14004138918235,2
900808,Transmission System for Kurnool Wind Energy Zone/ Solar Energy Zone  Part-A and Part-B,2026-05-01,18.0,31.33375920682037,2
N18000184,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN NR UNDER FIBER OPTIC EXPANSION PROJECT (ADDITIO,2024-08-01,81.0,49.152800250119675,2
N18000184,ESTABLISHMENT OF FIBER OPTIC COMMUNICATION SYSTEM IN NR UNDER FIBER OPTIC EXPANSION PROJECT (ADDITIO,2024-11-01,81.0,47.367039832349825,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-08-01,13.0,12.219389433180766,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-12-01,16.0,6.718648875976995,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-01-01,16.0,7.77850724575627,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-02-01,18.0,9.072715633127322,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-03-01,18.0,7.439796574205219,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-04-01,21.0,8.55193943977364,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-05-01,21.0,8.55193943977364,2
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-06-01,22.0,36.57595800502615,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2024-08-01,10.0,12.718538572501203,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2024-09-01,14.0,12.793782930570318,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2024-11-01,14.0,13.903753678768405,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2024-12-01,15.0,13.72665567837213,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-01-01,16.0,18.021615300695363,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-02-01,16.0,19.49724877809878,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-03-01,18.0,19.423082051649633,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-04-01,19.0,21.361691236504413,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-05-01,19.0,20.318228390012646,2
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-06-01,21.0,42.14344811972743,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2024-08-01,3.0,4.3331763884540395,2
N18000356,1346  TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2024-09-01,3.0,4.879997816415181,2
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2024-12-01,6.0,6.149636398277951,2
