project_code,project_name,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag,max_cost_overrun,cost_risk,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,budget_consumption_ratio,expenditure_progress_ratio
N18000307,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2024-11-01,2021-06-01,12-2022,1006.0,884.11,100.0,18,41,-23,87.88369781312127,Transmission_System,0.0,22.0,1,0,0.0,0,-12.116302186878727,23,2.2777777777777777,0.8788369781312128,0.8788369781312128
N18000330,TRANSMISSION SYSTEM STRENGTHENING FOR SRINAGAR-LEH TRANSMISSION SYSTEM,2025-06-01,2022-03-01,12-2024,288.71,199.53,48.0,33,39,-6,69.11087250181845,Transmission_System,0.0,9.0,1,0,0.0,0,21.11087250181845,6,1.1818181818181819,0.6911087250181844,1.4398098437878843
N18000331,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-06-01,2022-02-01,09-2023,359.47,327.28,90.0,19,40,-21,91.0451498038779,Transmission_System,0.0,23.0,1,0,0.0,0,1.045149803877905,21,2.1052631578947367,0.910451498038779,1.0116127755986435
N18000332,TRANSMISSION SYSTEM STRENGTHENING SCHEME FOR EVACUATION OF POWER FROM SOLAR ENERGY ZONES IN RAJASTHA,2025-06-01,2022-05-01,11-2023,1666.0,2029.28,94.1,18,37,-19,121.80552220888354,Transmission_System,33.13325330132052,22.0,1,1,33.13325330132052,1,27.70552220888355,19,2.0555555555555554,1.2180552220888354,1.2944263784153407
N18000338,TRANSMISSION NETWORK EXPANSION IN GUJARAT TO INCREASE ATC FROM ISTS: PART C,2025-03-01,2022-07-01,03-2025,186.19,71.53,100.0,32,32,0,38.41774531392664,Transmission_System,0.0,0.0,0,0,0.0,0,-61.58225468607336,0,1.0,0.3841774531392664,0.3841774531392664
N18000343,SYSTEM STRENGTHENING SCHEME FOR EASTERN AND NORTH EASTERN REGION,2025-06-01,2022-10-01,10-2025,307.87,298.87,100.0,36,32,4,97.07668821255724,Transmission_System,0.0,-4.0,0,0,0.0,0,-2.9233117874427563,0,0.8888888888888888,0.9707668821255724,0.9707668821255724
N18000350,WESTERN REGION EXPANSION SCHEME XXV,2025-06-01,2023-02-01,11-2023,385.84,370.41,95.0,9,28,-19,96.00093302923491,Transmission_System,0.0,21.0,1,0,0.0,0,1.0009330292349148,19,3.111111111111111,0.9600093302923491,1.0105361371498411
N18000351,EASTERN REGION EXPANSION SCHEME XXIX,2025-06-01,2023-03-01,11-2025,524.04,482.12,99.8,32,27,5,92.00061064040914,Transmission_System,0.0,-4.0,0,0,0.0,0,-7.799389359590862,0,0.84375,0.9200061064040913,0.9218498060161237
N18000353,ER WR TRANSMISSION LIMITED,2025-06-01,2023-03-01,03-2025,281.16,281.15,100.0,24,27,-3,99.99644330630244,Other_Power_Transmission,0.0,3.0,1,0,0.0,0,-0.003556693697561286,3,1.125,0.9999644330630244,0.9999644330630244
N18000354,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME XXVII,2025-03-01,2023-03-01,09-2024,271.69,186.03,100.0,18,24,-6,68.47141963266958,Transmission_System,0.0,6.0,1,0,0.0,0,-31.52858036733042,6,1.3333333333333333,0.6847141963266958,0.6847141963266958
N18000355,TRANSMISSION SYSTEM ASSOCIATED WITH WESTERN REGION EXPANSION SCHEME- XXVIII AND XXIX,2025-03-01,2023-03-01,03-2025,260.3,187.79,100.0,24,24,0,72.14368036880522,Transmission_System,0.0,0.0,0,0,0.0,0,-27.85631963119478,0,1.0,0.7214368036880522,0.7214368036880522
N18000356,TRANSMISSION SYSTEM SCHEME FOR EVACUATION OF POWER FROM REZ RAJASTHAN (8.1 GW) UNDER PHASE-II PART,2025-06-01,2023-03-01,09-2024,1433.28,1290.22,91.9,18,27,-9,90.01869837017192,Transmission_System,0.0,12.0,1,0,0.0,0,-1.8813016298280871,9,1.5,0.9001869837017192,0.9795288179561688
N18000357,ESTABLISHMENT OF KHAVDA POOLING STATION 3 (KPS3) IN KHAVDA RE PARK,2025-06-01,2023-03-01,12-2024,922.3,830.14,90.5,21,27,-6,90.00758972134881,Substation_Grid_Equipment,0.0,7.0,1,0,0.0,0,-0.49241027865119236,6,1.2857142857142858,0.9000758972134881,0.9945590024458432
N18000359,"KHAVDA-2, GUJARAT- ESTABLISHMENT OF KHAVDA POOLING STATION-2 (KPS2) IN KHAVDA RE PARK",2025-06-01,2023-03-01,12-2024,966.79,870.1,93.6,21,27,-6,89.99886221413131,Substation_Grid_Equipment,0.0,8.0,1,0,0.0,0,-3.601137785868687,6,1.2857142857142858,0.899988622141313,0.9615263057065311
N18000360,"KHAVDA PHASE-II-PART B, GUJARAT- TRANSMISSION SCHEME FOR EVACUATION OF 4.5 GW RE INJECTION AT KHAVDA",2025-06-01,2023-03-01,03-2025,1167.55,957.39,90.0,24,27,-3,81.99991435056316,Transmission_System,0.0,6.0,1,0,0.0,0,-8.00008564943684,3,1.125,0.8199991435056316,0.9111101594507017
N18000361,"KHAVDA PHASE-II-PART C, GUJARAT- TRANSMISSION SCHEME FOR EVACUATION OF 4.5 GW RE INJECTION AT KHAVDA",2025-06-01,2023-03-01,03-2025,2820.99,2418.0,82.6,24,27,-3,85.71458955898463,Transmission_System,0.0,6.0,1,0,0.0,0,3.1145895589846333,3,1.125,0.8571458955898463,1.0377068953872233
N18000372,TRANSMISSION SYSTEM FOR EVACUATION OF POWER FROM RAJASTHAN REZ PHASE-IV PART-I (BIKANER COMPLEX) PAR,2025-01-01,2023-06-01,01-2025,202.39,20.04,100.0,19,19,0,9.901674983941897,Transmission_System,0.0,1.0,1,0,0.0,0,-90.0983250160581,0,1.0,0.09901674983941897,0.09901674983941897
N18000373,"TS FOR EVACUATION OF POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III, PART E1",2025-06-01,2023-08-01,02-2025,688.74,564.77,93.0,18,22,-4,82.00046461654615,Transmission_System,0.0,7.0,1,0,0.0,0,-10.999535383453846,4,1.2222222222222223,0.8200046461654615,0.8817254259843672
N18000374,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART H,2025-06-01,2023-10-01,04-2025,2211.0,1702.27,69.4,18,20,-2,76.99095431931254,Other_Power_Transmission,0.0,4.0,1,0,0.0,0,7.59095431931253,2,1.1111111111111112,0.7699095431931253,1.109379745235051
N18000376,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART B1,2025-06-01,2023-09-01,04-2025,2191.0,1511.45,75.7,19,21,-2,68.98448197170242,Other_Power_Transmission,0.0,5.0,1,0,0.0,0,-6.715518028297581,2,1.105263157894737,0.6898448197170243,0.9112877407094111
N18000377,TS FOR EVACUATION OF 7GW RE INJECTION AT KHAVDA PS UNDER PHASE-IV PART E4,2025-06-01,2023-11-01,07-2025,224.0,15.68,7.0,20,19,1,6.999999999999999,Other_Power_Transmission,0.0,4.0,1,0,0.0,0,-8.881784197001252e-16,0,0.95,0.06999999999999999,0.9999999999999999
N18000379,TS FOR EVACUATION POWER FROM REZ IN RAJASTHAN (20GW) UNDER PHASE-III PART E2,2025-06-01,2023-11-01,06-2025,428.0,85.6,45.0,19,19,0,20.0,Other_Power_Transmission,0.0,3.0,1,0,0.0,0,-25.0,0,1.0,0.2,0.4444444444444444
N18000384,TS FOR EVACUATION OF ADDITIONAL 7GW RE POWER FROM KHAVDA RE PARK UNDER PHASE-III PART B [VATAMAN TRA,2025-06-01,2023-12-01,12-2025,3752.0,1463.23,20.0,24,18,6,38.99866737739872,Other_Power_Transmission,0.0,6.0,1,0,0.0,0,18.998667377398718,0,0.75,0.38998667377398716,1.9499333688699358
N18000385,TS FOR INTRGRATION OF RE ZONE (PHASE II) IN KOPPAL II (PHASE A and B) AND GADAG II (PHASE A) IN KARN,2025-06-01,2023-12-01,12-2025,2889.0,1011.29,36.7,24,18,6,35.00484596746279,Other_Power_Transmission,0.0,0.0,0,0,0.0,0,-1.6951540325372108,0,0.75,0.35004845967462794,0.9538105168245992
N18000386,TS FOR EVACUATION OF POWER FROM RAJASTHAN REZ PH-IV (PART-1) [BIKANER COMPLEX] PART A [BIKANER III N,2025-06-01,2023-12-01,12-2025,2998.0,1439.18,47.1,24,18,6,48.00466977985324,Transmission_System,0.0,0.0,0,0,0.0,0,0.9046697798532364,0,0.75,0.4800466977985324,1.019207426323848
N18000388,"TS FOR SOLAR ENERGY ZONE IN BIDAR (2500MW), KARNATAKA [BIDAR TRANSMISSION LTD]",2025-06-01,2024-02-01,02-2026,2148.0,923.47,52.2,24,16,8,42.992085661080075,Other_Power_Transmission,0.0,0.0,0,0,0.0,0,-9.207914338919927,0,0.6666666666666666,0.42992085661080076,0.8236031735839094
N18000389,TS FOR EVACUATION OF POWER FROM REZ IN RAJASTHAN (20GW) UNDER PH-III PART D [SIKAR KHETRI TRANSMISSI,2025-06-01,2024-02-01,08-2025,2000.0,1200.0,58.0,18,16,2,60.0,Transmission_System,0.0,1.0,1,0,0.0,0,2.0,0,0.8888888888888888,0.6,1.0344827586206897
N18000390,TS FOR EVACUATION OF POWER FROM 7GW REZ IN KHAVDA AREA UNDER PHASE-IV PART E2,2025-06-01,2024-05-01,05-2026,679.0,67.9,16.8,24,13,11,10.0,Transmission_System,0.0,-3.0,0,0,0.0,0,-6.800000000000001,0,0.5416666666666666,0.1,0.5952380952380952
N18000391,TS FOR EVACUATION POWER FROM RAJASTHAN REZ PH-IV (PART-2:5.5GW) PART-B (JAISALMER/BARMER COMPLEX),2025-06-01,2024-08-01,08-2026,3279.0,491.85,18.6,24,10,14,15.0,Other_Power_Transmission,0.0,0.0,0,0,0.0,0,-3.6000000000000014,0,0.4166666666666667,0.15,0.8064516129032258
N18000392,TS FOR EVACUATION POWER RAJASTHAN REZ PH-IV (PART-2:5.5GW) (JAISALMER/BARMER COMPLEX): PART- C,2025-06-01,2024-08-01,08-2026,2708.0,622.84,25.7,24,10,14,23.0,Other_Power_Transmission,0.0,0.0,0,0,0.0,0,-2.6999999999999993,0,0.4166666666666667,0.23,0.8949416342412452
