project_code,project_name,snapshot_date,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,project_category,progress_velocity,expenditure_velocity,expenditure_progress_gap,schedule_slippage_months,schedule_pressure_ratio,budget_consumption_ratio,target_cost_overrun_pct,target_schedule_overrun_months
611947,Transmission System for Evacuation of Power from REZ in Rajasthan 20GW under Phase III- Part E2,2026-04-01,428.3,415.45,98.4,19,29,-10,96.99976651879524,Transmission_System,1.0,2.0009339248190656,-1.400233481204765,10,1.5263157894736843,0.9699976651879524,0.0,12.0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-07-01,1796.02,1201.17,79.0,18,21,-3,66.87954477121636,Transmission_System,0.0,0.0,-12.12045522878364,3,1.1666666666666667,0.6687954477121636,0.0,6.0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-08-01,1796.02,1247.87,83.0,18,22,-4,69.47973853297847,Transmission_System,4.0,2.600193761762114,-13.520261467021529,4,1.2222222222222223,0.6947973853297847,0.0,6.0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-09-01,1796.02,1347.01,85.0,18,23,-5,74.99972160666363,Transmission_System,2.0,5.519983073685154,-10.000278393336371,5,1.2777777777777777,0.7499972160666363,0.0,11.0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-10-01,1796.02,1436.81,89.0,18,24,-6,79.99966592799635,Transmission_System,4.0,4.99994432133272,-9.000334072003653,6,1.3333333333333333,0.7999966592799634,0.0,11.0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-11-01,1796.02,1580.49,92.0,18,25,-7,87.99957684212872,Transmission_System,3.0,7.999910914132371,-4.000423157871282,7,1.3888888888888888,0.8799957684212871,0.0,11.0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2025-12-01,1796.02,1621.79,94.0,18,26,-8,90.29910580060356,Transmission_System,2.0,2.2995289584748377,-3.700894199396444,8,1.4444444444444444,0.9029910580060356,0.0,11.0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2026-02-01,1796.02,1688.25,96.0,18,28,-10,93.99951002772798,Transmission_System,1.0,1.8502021135622115,-2.000489972272021,10,1.5555555555555556,0.9399951002772798,0.0,13.0
611949,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part C1,2026-03-01,1796.02,1724.17,98.47,18,29,-11,95.99948775626108,Transmission_System,2.469999999999999,1.9999777285330964,-2.4705122437389235,11,1.6111111111111112,0.9599948775626108,0.0,13.0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-07-01,2190.54,1740.6,77.0,19,22,-3,79.45985921279684,Transmission_System,0.0,0.0,2.459859212796843,3,1.1578947368421053,0.7945985921279685,0.0,8.0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-08-01,2190.54,1870.72,83.0,19,23,-4,85.39994704502087,Transmission_System,6.0,5.940087832224023,2.399947045020866,4,1.2105263157894737,0.8539994704502086,0.0,8.0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-09-01,2190.54,1905.77,89.0,19,24,-5,87.00000913016882,Transmission_System,6.0,1.600062085147954,-1.99999086983118,5,1.263157894736842,0.8700000913016882,0.0,8.0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-10-01,2190.54,1949.58,91.0,19,25,-6,88.99997260949355,Transmission_System,2.0,1.9999634793247336,-2.000027390506446,6,1.3157894736842106,0.8899997260949355,0.0,8.0
611950,Transmission system for evacuation of power from REZ in Rajasthan 20 GW under Phase-III part B1,2025-11-01,2190.54,2000.84,96.0,19,26,-7,91.34003487724488,Transmission_System,5.0,2.340062267751321,-4.659965122755125,7,1.368421052631579,0.9134003487724488,0.0,8.0
