project_code,project_name,state,snapshot_date,start_date,original_doc,original_cost_cr,cumulative_expenditure_cr,physical_progress_pct,planned_duration_months,elapsed_months,months_to_original_target,expenditure_pct_of_original_cost,progress_gap_pct,project_category,target_cost_overrun_pct,target_schedule_overrun_months,delay_flag,cost_overrun_flag
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,Gujarat,2025-09,03-2023,03-2025,2820.99,2639.03,90.0,24,30,-6,93.54978216867129,10.0,Transmission_System,0.0,8.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,Gujarat,2025-10,03-2023,03-2025,2820.99,2736.36,93.0,24,31,-7,96.99998936543554,7.0,Transmission_System,0.0,9.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,Gujarat,2025-11,03-2023,03-2025,2820.99,2783.19,95.0,24,32,-8,98.66004487786203,5.0,Transmission_System,0.0,9.0,1,0
611657,Transmission scheme for evacuation of 4.5GW RE injection at Khavda PS under Phase II- Part C,Gujarat,2025-12,03-2023,03-2025,2820.99,2783.19,98.0,24,33,-9,98.66004487786203,2.0,Transmission_System,0.0,10.0,1,0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,Rajasthan,2025-07,03-2023,09-2024,1433.28,1341.7,93.0,18,28,-10,93.61045992409021,7.0,Transmission_System,-0.019535610627370276,13.0,1,0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,Rajasthan,2025-08,03-2023,09-2024,1433.28,1359.63,95.0,18,29,-11,94.86143670462158,5.0,Transmission_System,-0.019535610627370276,13.0,1,0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,Rajasthan,2025-09,03-2023,09-2024,1433.28,1390.01,97.0,18,30,-12,96.98105045769145,3.0,Transmission_System,-0.019535610627370276,13.0,1,0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,Rajasthan,2025-10,03-2023,09-2024,1433.28,1418.67,98.0,18,31,-13,98.9806597454789,2.0,Transmission_System,-0.019535610627370276,14.0,1,0
611659,Transmission system strengthening scheme for evacuation of power from solar energy zones in Rajasthan[8.1 GW] under phase-II- Part E,Rajasthan,2025-11,03-2023,09-2024,1433.28,1418.67,98.0,18,32,-14,98.9806597454789,2.0,Transmission_System,-0.019535610627370276,15.0,1,0
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,Gujarat,2025-07,03-2023,12-2024,966.79,894.76,95.0,21,28,-7,92.54957126159766,5.0,Substation_Grid_Equipment,0.0,8.0,1,0
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,Gujarat,2025-08,03-2023,12-2024,966.79,904.52,95.0,21,29,-8,93.55909763237105,5.0,Substation_Grid_Equipment,0.0,10.0,1,0
611660,Establishment of Khavda Pooling Station-2 KPS2 in Khavda RE Park KPS2 TRANSMISSION SYSTEM LIMITED,Gujarat,2025-09,03-2023,12-2024,966.79,911.97,96.0,21,30,-9,94.32968897071754,4.0,Substation_Grid_Equipment,0.0,10.0,1,0
